TALLY_ENTRY_ID,RECON_INST,TRANS_PRODUCT_CODE,TRANS_EVENT_CODE,DIRECTION,IS_AUTO_OPEN,EXT_PROPERTY,ACCOUNT_TYPE,OPERATOR,MEMO,GMT_CREATE,GMT_MODIFIED
"01012018","3008","100060040005","07001","C","F",,"INNERTRANS","system","结算管理-融资-直投-担保赔付-C","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012019","3008","100060040006","07001","C","F",,"INNERTRANS","system","结算管理-融资-直投-其他类支出-C","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012020","3008","100060040007","07001","C","F",,"INNERTRANS","system","结算管理-融资-直投-其他类收入-C","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012021","3008","100060050001","07001","C","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-还款-C","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012022","3008","100060050002","07001","C","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-其他类支出-C","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012023","3008","100060050003","07001","C","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-其他类收入-C","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012024","3008","100060010001","07004","D","F",,"INNERTRANS","system","结算管理-融资-贷款业务-放款-D","2016-05-13 11:16:19","2016-05-13 11:16:19"
"01012025","3008","100060010003","07004","D","F",,"INNERTRANS","system","结算管理-融资-贷款业务-其他类支出-D","2016-05-13 11:16:19","2016-05-13 11:16:19"
"01012026","3008","100060010004","07004","D","F",,"INNERTRANS","system","结算管理-融资-贷款业务-其他类收入-D","2016-05-13 11:16:19","2016-05-13 11:16:19"
"01012027","3008","100060020001","07004","D","F",,"INNERTRANS","system","结算管理-融资-资产证券化-资产转让-D","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012029","3008","100060020002","07004","D","F",,"INNERTRANS","system","结算管理-融资-资产证券化-代扣税金-D","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012030","3008","100060020003","07004","D","F",,"INNERTRANS","system","结算管理-融资-资产证券化-其他类支出-D","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012031","3008","100060030001","07004","D","F",,"INNERTRANS","system"," 结算管理-融资-汽车金融-放款-D","2016-06-28 01:07:30","2016-06-28 01:07:30"
"01012033","3008","100060030004","07004","D","F",,"INNERTRANS","system","结算管理-融资-汽车金融-其他类支出-D","2016-05-13 11:21:39","2016-05-13 11:21:39"
"01012034","3008","100060030005","07004","D","F",,"INNERTRANS","system","结算管理-融资-汽车金融-其他类收入-D","2016-05-13 11:21:39","2016-05-13 11:21:39"
"01012035","3008","100060040001","07004","D","F",,"INNERTRANS","system","结算管理-融资-直投-放款-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012036","3008","100060040006","07004","D","F",,"INNERTRANS","system","结算管理-融资-直投-其他类支出-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012037","3008","100060040007","07004","D","F",,"INNERTRANS","system","结算管理-融资-直投-其他类收入-D","2016-05-13 11:19:52","2016-05-13 11:19:52"
"01012038","3008","100060050002","07004","D","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-其他类支出-D","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012039","3008","100060050003","07004","D","F",,"INNERTRANS","system","结算管理-融资-AE提前收款-其他类收入-D","2016-05-13 11:14:00","2016-05-13 11:14:00"
"01012040","3008","100060060005","07004","D","F",,"INNERTRANS","system","结算管理-融资-单笔对接招财宝-其他类支出-D","2016-05-13 11:08:05","2016-05-13 11:08:05"
"01012041","3008","100060060006","07004","D","F",,"INNERTRANS","system","结算管理-融资-单笔对接招财宝-其他类收入-D","2016-05-13 11:08:05","2016-05-13 11:08:05"
"01012042","3008","100060010001","01013","D","F",,"INNERTRANS","system","结算管理-融资-贷款业务-放款-D","2016-05-13 11:16:19","2016-05-13 11:16:19"
"01012043","3008","100060010002","01013","D","F",,"INNERTRANS","system","结算管理-融资-贷款业务-还款-D","2016-05-13 11:16:19","2016-05-13 11:16:19"
"01012044","3008","100060010003","01013","D","F",,"INNERTRANS","system","结算管理-融资-贷款业务-其他类支出-D","2016-05-13 11:16:19","2016-05-13 11:16:19"
"01012045","3008","100060010004","01013","D","F",,"INNERTRANS","system","结算管理-融资-贷款业务-其他类收入-D","2016-05-13 11:16:19","2016-05-13 11:16:19"
"01012046","3008","100060020001","01013","D","F",,"INNERTRANS","system","结算管理-融资-资产证券化-资产转让-D","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012048","3008","100060020002","01013","D","F",,"INNERTRANS","system","结算管理-融资-资产证券化-代扣税金-D","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012049","3008","100060020003","01013","D","F",,"INNERTRANS","system","结算管理-融资-资产证券化-其他类支出-D","2016-05-13 11:16:55","2016-05-13 11:16:55"
"01012050","3008","100060030001","01013","D","F",,"INNERTRANS","system"," 结算管理-融资-汽车金融-放款-D","2016-06-28 01:07:30","2016-06-28 01:07:30"
"01012051","3008","100060030002","01013","D","F",,"INNERTRANS","system","结算管理-融资-汽车金融-还款-D","2016-05-13 11:21:39","2016-05-13 11:21:39"
"01012052","3008","100060030003","01013","D","F",,"INNERTRANS","system","结算管理-融资-汽车金融-贴息-D","2016-05-13 11:21:39","2016-05-13 11:21:39"
"01012053","3008","100060030004","01013","D","F",,"INNERTRANS","system","结算管理-融资-汽车金融-其他类支出-D","2016-05-13 11:21:39","2016-05-13 11:21:39"
"01012054","3008","100060030005","01013","D","F",,"INNERTRANS","system","结算管理-融资-汽车金融-其他类收入-D","2016-05-13 11:21:39","2016-05-13 11:21:39"
